gene,disease
CYP11B1,Disorder Of Endocrine System
CYP17A1,Disorder Of Endocrine System
CYP17A1,Congenital Adrenal Hyperplasia
CYP1B1,Anterior Segment Dysgenesis
CYP21A2,Disorder Of Endocrine System
CYP21A2,Congenital Adrenal Hyperplasia
CYP2A6,Neoplasm Of Lung
CYP2A6,Nicotine Dependence
CYP2C19,Proton Pump Inhibitor Response
CYP3A4,Proton Pump Inhibitor Response
CYP3A5,Essential Hypertension
CYP4F22,Congenital Ichthyosis Of Skin
DAG1,Autosomal Recessive Limb-Girdle Muscular Dystrophy
DAG1,Limb-Girdle Muscular Dystrophy
DAGLA,Neuroocular Syndrome
DBT,Disorder Of Amino Acid Metabolism
DBT,Maple Syrup Urine Disease
DBT,Disorder Of Organic Acid Metabolism
DCAF8,Giant Axonal Neuropathy
DCC,Neoplasm Of The Large Intestine
DCDC2,Nonsyndromic Genetic Hearing Loss
DCDC2,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
DCDC2,Hereditary Hearing Loss And Deafness
DCHS1,Van Maldergem Syndrome
DCTN1,Amyotrophic Lateral Sclerosis
DCX,Lissencephaly
DCX,Malformation Of Cortical Development
DDB2,Xeroderma Pigmentosum
DEPDC5,Familial Focal Epilepsy With Variable Foci
DES,"Muscular Dystrophy, Limb-Girdle, Autosomal Dominant"
DES,Primary Familial Dilated Cardiomyopathy
DES,Cardiomyopathy
DES,Myofibrillar Myopathy
DES,Limb-Girdle Muscular Dystrophy
DGUOK,Hereditary Hearing Loss And Deafness
DGUOK,Mitochondrial Dna Deletion Syndromes
DGUOK,Mitochondrial Disease
DGUOK,"Portal Hypertension, Noncirrhotic"
DGUOK,Mitochondrial Dna Depletion Syndrome 15 (Hepatocerebral Type)
DHDDS,Retinitis Pigmentosa
DHH,"Pure Gonadal Dysgenesis 46,Xy"
DIABLO,Hereditary Hearing Loss And Deafness
DIABLO,Autosomal Dominant Nonsyndromic Hearing Loss
DIABLO,Nonsyndromic Genetic Hearing Loss
DIAPH1,Nonsyndromic Genetic Hearing Loss
DIAPH1,Autosomal Dominant Nonsyndromic Hearing Loss
DIAPH2,Premature Ovarian Failure
DISC1,Schizophrenia
DKC1,Dyskeratosis Congenita
DLAT,Mitochondrial Disease
DLAT,Leigh Syndrome
DLAT,Pyruvate Dehydrogenase Complex Deficiency
DLAT,Hereditary Hearing Loss And Deafness
DLC1,Neoplasm Of The Large Intestine
DLD,Mitochondrial Disease
DLD,Hereditary Hearing Loss And Deafness
DLD,Pyruvate Dehydrogenase Complex Deficiency
DLD,Leigh Syndrome
DLL3,Autosomal Recessive Spondylocostal Dysostosis
DLST,Paraganglioma
DLX3,Amelogenesis Imperfecta
DMD,Neuromuscular Disease Caused By Qualitative Or Quantitative Defects Of Dystrophin
DMP1,Rickets
DMP1,Hypophosphatemic Rickets
DMP1,Hereditary Hypophosphatemic Rickets
DNAAF1,Primary Ciliary Dyskinesia
DNAAF11,Primary Ciliary Dyskinesia
DNAAF19,Primary Ciliary Dyskinesia
DNAAF2,Primary Ciliary Dyskinesia
DNAAF3,Primary Ciliary Dyskinesia
DNAAF4,Primary Ciliary Dyskinesia
DNAAF6,Primary Ciliary Dyskinesia
DNAH1,Primary Ciliary Dyskinesia
DNAH11,Primary Ciliary Dyskinesia
DNAH5,Primary Ciliary Dyskinesia
DNAI1,Primary Ciliary Dyskinesia
DNAI2,Primary Ciliary Dyskinesia
DNAJB13,Primary Ciliary Dyskinesia
DNAJB2,Charcot-Marie-Tooth Disease
DNAJB6,"Muscular Dystrophy, Limb-Girdle, Autosomal Dominant"
DNAJB6,Limb-Girdle Muscular Dystrophy
DNAJC19,3-Methylglutaconic Aciduria
DNAJC5,Adult Neuronal Ceroid Lipofuscinosis
DNAJC5,Neuronal Ceroid Lipofuscinosis
DNAL1,Primary Ciliary Dyskinesia
DNM2,Centronuclear Myopathy
DNMT3B,"Centromeric Instability Of Chromosomes 1,9 And 16 And Immunodeficiency"
DOCK6,Adams-Oliver Syndrome
DOLK,Congenital Disorder Of Glycosylation
DONSON,Meier-Gorlin Syndrome
DPAGT1,Congenital Disorder Of Glycosylation
DPH1,"Developmental Delay With Short Stature, Dysmorphic Facial Features, And Sparse Hair"
DPH2,"Developmental Delay With Short Stature, Dysmorphic Facial Features, And Sparse Hair"
DPM1,Congenital Disorder Of Glycosylation
DPM3,Congenital Disorder Of Glycosylation
DPP6,Paroxysmal Familial Ventricular Fibrillation
DRC1,Primary Ciliary Dyskinesia
DRC2,Primary Ciliary Dyskinesia
DRC4,Primary Ciliary Dyskinesia
DRD3,Essential Tremor
DRD4,Attention Deficit Hyperactivity Disorder
DRD5,Attention Deficit Hyperactivity Disorder
DSC2,Cardiomyopathy
DSG2,Cardiomyopathy
DSG2,Primary Familial Dilated Cardiomyopathy
DSP,Cardiomyopathy
DTNA,"Myopathy With Myalgia, Increased Serum Creatine Kinase, And With Or Without Episodic Rhabdomyolysis"
DTNBP1,Hermansky-Pudlak Syndrome
DUOX2,Congenital Hypothyroidism
DYM,Smith-Mccort Dysplasia
DYNC1H1,Charcot-Marie-Tooth Disease Type 2
DYNC2H1,Jeune Thoracic Dystrophy
DYNC2H1,"Short Rib-Polydactyly Syndrome, Majewski Type"
DYSF,Autosomal Recessive Limb-Girdle Muscular Dystrophy
DZIP1L,Autosomal Recessive Polycystic Kidney Disease
EARS2,Combined Oxidative Phosphorylation Deficiency
ECE1,Aganglionic Megacolon
ECE1,Essential Hypertension
ECEL1,Distal Arthrogryposis
EDA,Hypohidrotic Ectodermal Dysplasia
EDAR,Hypohidrotic Ectodermal Dysplasia
EDAR,Autosomal Hypohidrotic Ectodermal Dysplasia
EDAR,Autosomal Recessive Hypohidrotic Ectodermal Dysplasia Syndrome
EDARADD,Autosomal Recessive Hypohidrotic Ectodermal Dysplasia Syndrome
EDARADD,Autosomal Hypohidrotic Ectodermal Dysplasia
EDARADD,Hypohidrotic Ectodermal Dysplasia
EDN1,Auriculocondylar Syndrome
EDN3,Waardenburg-Shah Syndrome
EDN3,Aganglionic Megacolon
EDN3,Hereditary Hearing Loss And Deafness
EDNRA,Migraine
EDNRA,Mandibulofacial Dysostosis
EDNRA,"Migraine With Or Without Aura, Susceptibility To"
EDNRB,Waardenburg-Shah Syndrome
EDNRB,Aganglionic Megacolon
EDNRB,Hereditary Hearing Loss And Deafness
EFEMP1,Glaucoma
EFEMP2,"Cutis Laxa, Autosomal Recessive"
EFHC1,Idiopathic Generalized Epilepsy
EFHC1,Juvenile Myoclonic Epilepsy
EFL1,Shwachman Syndrome
EGFR,Neoplasm Of Lung
EGLN1,Familial Erythrocytosis
EGR2,Congenital Hypomyelinating Neuropathy
EGR2,Charcot-Marie-Tooth Disease Type 4
EGR2,"Charcot-Marie-Tooth Disease, Type I"
EHMT1,Kleefstra Syndrome
EIF2AK4,Pulmonary Venoocclusive Disease
ELAC2,Combined Oxidative Phosphorylation Deficiency
ELANE,Severe Congenital Neutropenia
ELF4,"Autoinflammatory Syndrome, Familial, Behcet-Like"
ELN,"Cutis Laxa, Autosomal Dominant"
ELOVL4,Stargardt Disease
ELP1,Ashkenazi Jewish Disorders
ELP1,Glioma
ELP4,Congenital Aniridia
ELP4,Isolated Aniridia
EMD,Emery-Dreifuss Muscular Dystrophy
ENAM,Amelogenesis Imperfecta Type 1
ENAM,Amelogenesis Imperfecta
ENG,Hereditary Hemorrhagic Telangiectasia
ENO3,Glycogen Storage Disease
ENPP1,Obesity
ENPP1,Arterial Calcification Of Infancy
ENPP1,Hereditary Hypophosphatemic Rickets
ENPP1,Rickets
ENPP1,Hypophosphatemic Rickets
EOGT,Adams-Oliver Syndrome
EP300,Rubinstein-Taybi Syndrome
EP300,Menke-Hennekam Syndrome
EP300,Neoplasm Of The Large Intestine
EPAS1,Familial Erythrocytosis
EPB41,Hereditary Elliptocytosis
EPB42,Hereditary Spherocytosis
EPHX2,Hyperlipoproteinemia
EPHX2,Familial Hypercholesterolemia
EPM2A,Progressive Myoclonic Epilepsy
EPO,"Microvascular Complications Of Diabetes, Susceptibility"
EPOR,Familial Erythrocytosis
EPS8L3,Marie Unna Syndrome
ERAL1,Perrault Syndrome
ERBB2,Ovarian Neoplasm
ERBB2,Neoplasm Of The Genitourinary Tract
ERBB2,Glioma
ERBB2,Neoplasm Of Stomach
ERBB2,Neoplasm Of Lung
ERBB3,"Acute Myeloid Leukemia, M6 Type"
ERCC2,Xeroderma Pigmentosum
ERCC3,Xeroderma Pigmentosum
ERCC4,Xeroderma Pigmentosum
ERCC5,Xeroderma Pigmentosum
ERCC6,Neoplasm Of Lung
ERCC6,Cockayne Syndrome
ERCC6,Age-Related Macular Degeneration
ERCC8,Cockayne Syndrome
ERLIN2,Hereditary Spastic Paraplegia 18
ESPN,Nonsyndromic Genetic Hearing Loss
ESPN,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
ESR1,Migraine
ESR1,"Migraine With Or Without Aura, Susceptibility To"
ESR1,Breast Neoplasm
ESR1,Malignant Tumor Of Breast
ESRRB,Nonsyndromic Genetic Hearing Loss
ESRRB,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
ETFA,Disorder Of Fatty Acid Metabolism
ETFB,Disorder Of Fatty Acid Metabolism
ETFDH,Disorder Of Fatty Acid Metabolism
EWSR1,Peripheral Neuroepithelioma
EXOSC3,Congenital Pontocerebellar Hypoplasia Type 1
EXOSC3,Pontoneocerebellar Hypoplasia
EXOSC8,Pontoneocerebellar Hypoplasia
EXOSC8,Congenital Pontocerebellar Hypoplasia Type 1
EXOSC9,Congenital Pontocerebellar Hypoplasia Type 1
EXOSC9,Pontoneocerebellar Hypoplasia
EXT2,Multiple Congenital Exostosis
EYA1,Branchiootic Syndrome
EYA1,Hereditary Hearing Loss And Deafness
EYA4,Cardiomyopathy
EYA4,Nonsyndromic Genetic Hearing Loss
EYA4,Autosomal Dominant Nonsyndromic Hearing Loss
EYA4,Primary Familial Dilated Cardiomyopathy
EYS,Retinitis Pigmentosa
F10,Factor X Deficiency
F12,Hereditary Angioneurotic Edema
F5,Thrombophilia Due To Thrombin Defect
F8,Hemophilia
F8,Factor Viii Deficiency
F9,Hemophilia
FAH,Disorder Of Amino Acid Metabolism
FAM161A,Retinitis Pigmentosa
FAM20A,Amelogenesis Imperfecta
FANCA,Fanconi Anemia
FANCB,Fanconi Anemia
FANCC,Fanconi Anemia
FANCC,Ashkenazi Jewish Disorders
FANCD2,Fanconi Anemia
FANCE,Fanconi Anemia
FANCF,Fanconi Anemia
FANCG,Fanconi Anemia
FANCI,Fanconi Anemia
FANCL,Fanconi Anemia
FARS2,Combined Oxidative Phosphorylation Deficiency
FAS,Autoimmune Lymphoproliferative Syndrome
FASLG,Autoimmune Lymphoproliferative Syndrome
FASLG,Neoplasm Of Lung
FASTKD2,Mitochondrial Disease
FASTKD2,Hereditary Hearing Loss And Deafness
FAT4,Van Maldergem Syndrome
FBLN5,Age-Related Macular Degeneration
FBLN5,"Cutis Laxa, Autosomal Recessive"
FBLN5,"Cutis Laxa, Autosomal Dominant"
FBN1,Ectopia Lentis
FBN1,Isolated Ectopia Lentis
FBN1,Familial Aortopathy
FBN1,Weill-Marchesani Syndrome
FBXL4,Mitochondrial Dna Deletion Syndromes
FBXL4,Hereditary Hearing Loss And Deafness
FBXL4,Mitochondrial Disease
FBXL4,"Mitochondrial Dna Depletion Syndrome, Encephalomyopathic Form"
FBXO43,Inherited Oocyte Maturation Defect
FBXO7,Parkinson Disease
FCGR2A,Ashkenazi Jewish Disorders
FCSK,Congenital Disorder Of Glycosylation With Defective Fucosylation
FERMT3,Leukocyte Adhesion Deficiency
FGA,Hereditary Factor I Deficiency Disease
FGA,"Amyloidosis, Hereditary Systemic"
FGA,Familial Amyloid Neuropathy
FGB,Hereditary Factor I Deficiency Disease
FGD1,Fg Syndrome
FGD1,Faciodigitogenital Syndrome
FGD4,Charcot-Marie-Tooth Disease Type 4
FGD4,Charcot-Marie-Tooth Disease
FGF10,Levy-Hollister Syndrome
FGF23,Rickets
FGF23,Hypophosphatemic Rickets
FGF23,Hereditary Hypophosphatemic Rickets
FGF8,Hypogonadism With Anosmia
FGF9,Multiple Synostosis Syndrome
FGFR1,Twist1-Related Craniosynostosis
FGFR1,Hypogonadism With Anosmia
FGFR1,Holoprosencephaly Sequence
FGFR1,Fgfr2-Related Craniosynostosis
FGFR1,Craniosynostosis Syndrome
FGFR2,Craniosynostosis Syndrome
FGFR2,Levy-Hollister Syndrome
FGFR2,Fgfr2-Related Craniosynostosis
FGFR2,Neoplasm Of Stomach
FGFR2,Familial Bent Bone Dysplasia Syndrome
FGFR2,Twist1-Related Craniosynostosis
FGFR2,Antley-Bixler Syndrome
FGFR3,Neoplasm Of The Large Intestine
FGFR3,Twist1-Related Craniosynostosis
FGFR3,Thanatophoric Dysplasia
FGFR3,Malignant Tumor Of Testis
FGFR3,Neoplasm Of The Genitourinary Tract
FGFR3,Levy-Hollister Syndrome
FGFR3,Craniosynostosis Syndrome
FGG,Hereditary Factor I Deficiency Disease
FHL1,X-Linked Emery-Dreifuss Muscular Dystrophy
FHL1,Emery-Dreifuss Muscular Dystrophy
FIG4,Amyotrophic Lateral Sclerosis
FIG4,Charcot-Marie-Tooth Disease
FIG4,Charcot-Marie-Tooth Disease Type 4
FIGLA,Premature Ovarian Failure
FKBP10,Osteogenesis Imperfecta
FKBP14,Kyphoscoliotic Ehlers-Danlos Syndrome
FKRP,Neuromuscular Disease Caused By Qualitative Or Quantitative Defects Of Alpha-Dystroglycan
FKRP,Autosomal Recessive Limb-Girdle Muscular Dystrophy
FKRP,Congenital Muscular Dystrophy
FKRP,Limb-Girdle Muscular Dystrophy
FKTN,Limb-Girdle Muscular Dystrophy
FKTN,Cardiomyopathy
FKTN,Congenital Muscular Dystrophy
FKTN,Primary Familial Dilated Cardiomyopathy
FKTN,Autosomal Recessive Limb-Girdle Muscular Dystrophy
FKTN,Neuromuscular Disease Caused By Qualitative Or Quantitative Defects Of Alpha-Dystroglycan
FLCN,Neoplasm Of The Large Intestine
FLCN,Multiple Fibrofolliculomas
FLG,Atopic Eczema
FLG2,Peeling Skin Syndrome
FLNA,Frontometaphyseal Dysplasia
FLNA,Periventricular Nodular Heterotopia
FLNA,Fg Syndrome
FLNB,Atelosteogenesis
FLNC,Myofibrillar Myopathy
FMR1,Premature Ovarian Failure
FN1,Spondylometaphyseal Dysplasia
FN1,Type 2 Collagenopathy
FOXC1,Rieger Anomaly
FOXC1,Anterior Segment Dysgenesis
FOXE3,Anterior Segment Dysgenesis
FOXF1,Persistent Fetal Circulation Syndrome
FOXI1,Nonsyndromic Genetic Hearing Loss
FOXI1,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
FOXI3,Craniofacial Microsomia
FOXL2,Premature Ovarian Failure
FSCN2,Retinitis Pigmentosa
FTH1,Hereditary Hemochromatosis
FUS,Amyotrophic Lateral Sclerosis
FUT8,Congenital Disorder Of Glycosylation With Defective Fucosylation
FUZ,Neural Tube Defect
FXN,Friedreich Ataxia
G6PC1,Glycogen Storage Disease
G6PC1,"Glycogen Storage Disease, Type I"
G6PC3,Severe Congenital Neutropenia
GAA,Metabolic Myopathy
GAA,Glycogen Storage Disease
GAB1,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
GAB1,Hereditary Hearing Loss And Deafness
GAB1,Nonsyndromic Genetic Hearing Loss
GABBR2,Nicotine Dependence
GABRA1,Idiopathic Generalized Epilepsy
GABRA1,Juvenile Myoclonic Epilepsy
GABRB3,Idiopathic Generalized Epilepsy
GABRB3,Absence Seizure
GABRD,Idiopathic Generalized Epilepsy
GABRD,Juvenile Myoclonic Epilepsy
GALE,Galactosemia
GALK1,Galactosemia
GALNS,Morquio Syndrome
GALT,Galactosemia
GAN,Giant Axonal Neuropathy
GANAB,Autosomal Dominant Polycystic Kidney Disease
GARS1,"Neuronopathy, Distal Hereditary Motor, Type 5"
GARS1,Charcot-Marie-Tooth Disease Type 2
GARS1,Charcot-Marie-Tooth Disease
GARS1,Distal Spinal Muscular Atrophy
GATA1,Congenital Dyserythropoietic Anemia
GATA4,Familial Atrioventricular Septal Defect
GATA4,Atrial Septal Defect
GATA6,Familial Atrioventricular Septal Defect
GBA1,Gaucher Disease
GBA1,Parkinson Disease
GBA1,Ashkenazi Jewish Disorders
GBE1,Glycogen Storage Disease
GCDH,Disorder Of Organic Acid Metabolism
GCH1,Gtp Cyclohydrolase I Deficiency
GCH1,Dopa-Responsive Dystonia
GCK,Familial Hyperinsulinism
GCK,Neonatal Diabetes Mellitus
GDAP1,Charcot-Marie-Tooth Disease
GDAP1,Charcot-Marie-Tooth Disease Type 4
GDAP1,Charcot-Marie-Tooth Disease Type 2
GDF1,Transposition Of The Great Arteries
GDF2,Hereditary Hemorrhagic Telangiectasia
GDF3,Klippel-Feil Syndrome
GDF5,Short Stature With Nonspecific Skeletal Abnormalities
GDF5,Multiple Synostosis Syndrome
GDF5,Brachydactyly Type A1
GDF6,Multiple Synostosis Syndrome
GDF6,Klippel-Feil Syndrome
GDNF,Aganglionic Megacolon
GFI1,Severe Congenital Neutropenia
GFM1,Combined Oxidative Phosphorylation Deficiency
GH1,Juvenile Amyotrophic Lateral Sclerosis With Dementia
GH1,Idiopathic Growth Hormone Deficiency
GHR,Hyperlipoproteinemia
GHR,Familial Hypercholesterolemia
GHRL,Obesity
GIGYF2,Parkinson Disease
GIMAP5,"Portal Hypertension, Noncirrhotic"
GINS3,Meier-Gorlin Syndrome
GIPC1,Oculopharyngodistal Myopathy
GIPC3,Nonsyndromic Genetic Hearing Loss
GIPC3,Hereditary Hearing Loss And Deafness
GIPC3,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
GJA5,Atrial Standstill
GJA5,Atrial Fibrillation
GJB1,Charcot-Marie-Tooth Disease
GJB2,Autosomal Dominant Nonsyndromic Hearing Loss
GJB2,Nonsyndromic Genetic Hearing Loss
GJB2,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
GJB2,Dfna 3 Nonsyndromic Hearing Loss And Deafness
GJB3,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
GJB3,Nonsyndromic Genetic Hearing Loss
GJB3,Autosomal Dominant Nonsyndromic Hearing Loss
GJB6,Autosomal Dominant Nonsyndromic Hearing Loss
GJB6,Nonsyndromic Genetic Hearing Loss
GJB6,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
GJB6,Dfna 3 Nonsyndromic Hearing Loss And Deafness
GLB1,Gm1 Gangliosidosis
GLB1,Glb1-Related Disorder
GLB1,Morquio Syndrome
GLRA1,Hereditary Hyperekplexia
GLRB,Hereditary Hyperekplexia
GLUD1,Familial Hyperinsulinism
GMNN,Meier-Gorlin Syndrome
GMPPB,Neuromuscular Disease Caused By Qualitative Or Quantitative Defects Of Alpha-Dystroglycan
GMPPB,Congenital Muscular Dystrophy
GNAI2,Cardiac Arrhythmia
GNAI2,Genetic Cardiac Rhythm Disease
GNAI3,Auriculocondylar Syndrome
GNAQ,Capillary Malformation
GNAS,Acth-Independent Cushing Syndrome
GNAS,Cushing Syndrome Due To Macronodular Adrenal Hyperplasia
GNAS,Pseudohypoparathyroidism
GNAS,Cushing Syndrome
GNAS-AS1,Pseudohypoparathyroidism
GNB3,Essential Hypertension
GNE,Free Sialic Acid Storage Disease
GNS,Sanfilippo Syndrome
GP1BA,Hereditary Von Willebrand Disease
GP1BA,Von Willebrand Disorder
GPC3,Hereditary Wilms Tumor
GPC3,Nephroblastoma
GPC3,Kidney Wilms Tumor
GPC3,Simpson-Golabi-Behmel Syndrome
GPC4,Kidney Wilms Tumor
GPC4,Nephroblastoma
GPC4,Hereditary Wilms Tumor
GPD1L,Brugada Syndrome
GPHN,Hyperekplexia
GPHN,Hereditary Hyperekplexia
GPHN,Combined Molybdoflavoprotein Enzyme Deficiency
GPIHBP1,Chylomicronemia Syndrome
GPIHBP1,Familial Chylomicronemia Syndrome
GPR161,Glioma
GPR68,Amelogenesis Imperfecta
GPR68,Amelogenesis Imperfecta Type 2
GPSM2,Hereditary Hearing Loss And Deafness
GPSM2,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
GPSM2,Nonsyndromic Genetic Hearing Loss
GPX4,Type 2 Collagenopathy
GPX4,Spondylometaphyseal Dysplasia
GRHL2,Corneal Endothelial Dystrophy
GRHL2,Posterior Polymorphous Corneal Dystrophy
GRHL2,Corneal Dystrophy
GRHL2,Autosomal Dominant Nonsyndromic Hearing Loss
GRHL2,Nonsyndromic Genetic Hearing Loss
GRHL3,Van Der Woude Syndrome
GRHPR,Primary Hyperoxaluria
GRIN2A,Self-Limited Epilepsy With Centrotemporal Spikes
GRK1,Oguchi Disease
GRM6,Congenital Stationary Night Blindness
GRN,Adult Neuronal Ceroid Lipofuscinosis
GRXCR1,Nonsyndromic Genetic Hearing Loss
GRXCR1,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
GRXCR1,Hereditary Hearing Loss And Deafness
GSDME,Nonsyndromic Genetic Hearing Loss
GSDME,Autosomal Dominant Nonsyndromic Hearing Loss
GSN,Familial Amyloid Neuropathy
GSN,"Amyloidosis, Hereditary Systemic"
GSS,Inherited Glutathione Synthetase Deficiency
GTPBP3,Combined Oxidative Phosphorylation Deficiency
GUCA1B,Retinitis Pigmentosa
GUCY1A1,Moyamoya Disease
GUCY2C,Meconium Ileus
GUCY2D,Leber Congenital Amaurosis
GYG1,Polyglucosan Body Myopathy
GYG1,Glycogen Storage Disease
H19,Nephroblastoma
H19,Hereditary Wilms Tumor
H19,Kidney Wilms Tumor
H19-ICR,Kidney Wilms Tumor
H19-ICR,Hereditary Wilms Tumor
H19-ICR,Nephroblastoma
H19-ICR,Russell-Silver Syndrome
H3-3A,Bryant-Li-Bhoj Neurodevelopmental Syndrome
H3-3B,Bryant-Li-Bhoj Neurodevelopmental Syndrome
H4C11,Tessadori-Van-Haaften Neurodevelopmental Syndrome
H4C3,Tessadori-Van-Haaften Neurodevelopmental Syndrome
HADH,Familial Hyperinsulinism
HADHA,Disorder Of Fatty Acid Metabolism
HADHB,Disorder Of Fatty Acid Metabolism
HAMP,Hereditary Hemochromatosis
HARS1,Hereditary Hearing Loss And Deafness
HARS1,Usher Syndrome Type 3
HARS1,Usher Syndrome
HARS2,Perrault Syndrome
HAX1,Severe Congenital Neutropenia
HBA1,Hemoglobinopathy
HBA1,Thalassemia
HBA2,Thalassemia
HBA2,Hemoglobinopathy
HBB,Hemoglobinopathy
HBB,Thalassemia
HBB-LCR,Thalassemia
HBB-LCR,Hemoglobinopathy
HCCS,Linear Skin Defects With Multiple Congenital Anomalies
HCN4,Brugada Syndrome
HCN4,Sick Sinus Syndrome
HCN4,Familial Sick Sinus Syndrome
HELLS,"Centromeric Instability Of Chromosomes 1,9 And 16 And Immunodeficiency"
HES7,Autosomal Recessive Spondylocostal Dysostosis
HEXA,Ashkenazi Jewish Disorders
HFE,Hereditary Hemochromatosis
HGF,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
HGF,Nonsyndromic Genetic Hearing Loss
HGSNAT,Sanfilippo Syndrome
HJV,Hereditary Hemochromatosis
HK1,Charcot-Marie-Tooth Disease
HK1,Charcot-Marie-Tooth Disease Type 4
HLA-B,Abacavir Response
HLA-DQA1,Celiac Disease
HLA-DQB1,Celiac Disease
HLA-DQB1,Creutzfeldt-Jakob Disease
HLA-DQB1,Inherited Prion Disease
HLCS,Multiple Carboxylase Deficiency
HMCN1,Age-Related Macular Degeneration
HMGA2,Russell-Silver Syndrome
HMGCL,Disorder Of Organic Acid Metabolism
HMMR,Breast Neoplasm
HMMR,Malignant Tumor Of Breast
HNF1B,Familial Juvenile Gout
HNRNPA2B1,Oculopharyngeal Muscular Dystrophy
HNRNPDL,Limb-Girdle Muscular Dystrophy
HNRNPDL,"Muscular Dystrophy, Limb-Girdle, Autosomal Dominant"
HOGA1,Primary Hyperoxaluria
HOXD13,Brachydactyly Type E
HOXD13,Synpolydactyly
HPRT1,Hypoxanthine-Guanine Phosphoribosyltransferase Deficiency
HPS1,Hermansky-Pudlak Syndrome
HPS3,Hermansky-Pudlak Syndrome
HPS4,Hermansky-Pudlak Syndrome
HPS5,Hermansky-Pudlak Syndrome
HPS6,Hermansky-Pudlak Syndrome
HR,Alopecia
HRAS,Melanocytic Nevus
HRAS,Rasopathy
HRAS,Neoplasm Of The Genitourinary Tract
HRURF,Marie Unna Syndrome
HSD17B4,Perrault Syndrome
HSD3B2,Disorder Of Endocrine System
HSD3B2,Congenital Adrenal Hyperplasia
HSPB1,Distal Spinal Muscular Atrophy
HSPB1,Charcot-Marie-Tooth Disease Type 2
HSPB8,Charcot-Marie-Tooth Disease Type 2
HSPB8,Distal Spinal Muscular Atrophy
HSPG2,Schwartz-Jampel Syndrome
HTRA1,Cerebral Arteriopathy With Subcortical Infarcts And Leukoencephalopathy
HTRA2,3-Methylglutaconic Aciduria
HTRA2,Parkinson Disease
HYDIN,Primary Ciliary Dyskinesia
HYMAI,Neonatal Diabetes Mellitus
HYMAI,Transitory Neonatal Diabetes Mellitus
ICOS,Common Variable Immunodeficiency
IDH1,Glioma
IDH3B,Retinitis Pigmentosa
IER3IP1,"Microcephaly, Epilepsy, And Diabetes Syndrome"
IFITM5,Osteogenesis Imperfecta
IFNG,Tuberous Sclerosis Syndrome
IFNL3,"Hepatitis C Virus Infection, Response To Therapy Of"
IFT122,Cranioectodermal Dysplasia
IFT43,Cranioectodermal Dysplasia
IFT54,Renal Dysplasia And Retinal Aplasia
IFT80,Jeune Thoracic Dystrophy
IGF2,Hereditary Wilms Tumor
IGF2,Russell-Silver Syndrome
IGF2,Nephroblastoma
IGF2,Kidney Wilms Tumor
IGHMBP2,Distal Spinal Muscular Atrophy
IHH,Short Stature With Nonspecific Skeletal Abnormalities
IKBKG,Ectodermal Dysplasia And Immune Deficiency
IKZF1,Common Variable Immunodeficiency
IL1B,Neoplasm Of Stomach
IL1R1,Chronic Multifocal Osteomyelitis
IL1RN,Chronic Multifocal Osteomyelitis
IL1RN,Neoplasm Of Stomach
IL1RN,"Microvascular Complications Of Diabetes, Susceptibility"
IL21,Common Variable Immunodeficiency
IL2RG,Severe Combined Immunodeficiency Disease
IL6,Kaposi Sarcoma
IL6ST,Schwartz-Jampel Syndrome
IL6ST,Stuve-Wiedemann Syndrome
ILDR1,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
ILDR1,Hereditary Hearing Loss And Deafness
ILDR1,Nonsyndromic Genetic Hearing Loss
IMPDH1,Leber Congenital Amaurosis
IMPDH1,Retinitis Pigmentosa
IMPG1,Vitelliform Macular Dystrophy
IMPG1,Adult-Onset Foveomacular Vitelliform Dystrophy
IMPG2,Adult-Onset Foveomacular Vitelliform Dystrophy
IMPG2,Vitelliform Macular Dystrophy
IMPG2,Retinitis Pigmentosa
INF2,"Hereditary Nephrotic Syndromes, Autosomal Dominant"
INF2,Focal Segmental Glomerulosclerosis
INF2,Familial Idiopathic Steroid-Resistant Nephrotic Syndrome
INF2,Inherited Focal Segmental Glomerulosclerosis
INPP5E,Joubert Syndrome
INS,Neonatal Diabetes Mellitus
INSR,Familial Hyperinsulinism
IQCB1,Renal Dysplasia And Retinal Aplasia
IRF1,Neoplasm Of Stomach
IRF1,Neoplasm Of Lung
IRF2BP2,Common Variable Immunodeficiency
IRF5,Systemic Lupus Erythematosus
IRF6,Orofacial Cleft
IRF6,Popliteal Pterygium Syndrome
IRF6,Van Der Woude Syndrome
ITGA7,Congenital Muscular Dystrophy
ITGB2,Leukocyte Adhesion Deficiency
ITGB6,Amelogenesis Imperfecta
ITGB6,Amelogenesis Imperfecta Type 1
