gene,disease
APOL1,"Hereditary Nephrotic Syndromes, Autosomal Dominant"
APOL1,Familial Idiopathic Steroid-Resistant Nephrotic Syndrome
APOL1,Inherited Focal Segmental Glomerulosclerosis
APOL1,Focal Segmental Glomerulosclerosis
APP,Early-Onset Autosomal Dominant Alzheimer Disease
AQP2,Nephrogenic Diabetes Insipidus
ARFGEF2,Periventricular Nodular Heterotopia
ARHGAP26,Rasopathy
ARHGAP31,Adams-Oliver Syndrome
ARHGEF9,Hyperekplexia
ARL13B,Joubert Syndrome
ARL6,Bardet-Biedl Syndrome
ARMC5,Acth-Independent Cushing Syndrome
ARMC5,Cushing Syndrome Due To Macronodular Adrenal Hyperplasia
ARMC5,Cushing Syndrome
ARMS2,Age-Related Macular Degeneration
ARX,Lissencephaly
ARX,Malformation Of Cortical Development
ASB10,Glaucoma
ASL,Disorder Of Amino Acid Metabolism
ASPA,Ashkenazi Jewish Disorders
ASPM,Autosomal Recessive Primary Microcephaly
ASS1,Disorder Of Amino Acid Metabolism
ASS1,Citrullinemia
ASTL,Inherited Oocyte Maturation Defect
ATAD1,Hereditary Hyperekplexia
ATAD1,Hyperekplexia
ATM,Breast Neoplasm
ATM,Malignant Tumor Of Breast
ATP13A2,Neurodegeneration With Brain Iron Accumulation
ATP13A2,Parkinson Disease
ATP1A2,Familial Or Sporadic Hemiplegic Migraine
ATP1A2,Familial Hemiplegic Migraine
ATP1A3,Autosomal Dominant Optic Atrophy Plus Syndrome
ATP1A3,Atp1A3-Associated Neurological Disorder
ATP1B1,Essential Hypertension
ATP5F1A,Combined Oxidative Phosphorylation Deficiency
ATP5F1E,Hereditary Hearing Loss And Deafness
ATP5F1E,Mitochondrial Disease
ATP5F1E,Complex V Deficiency
ATP6V0A2,"Cutis Laxa, Autosomal Recessive"
ATP6V0A4,Inherited Distal Renal Tubular Acidosis
ATP6V0A4,Autosomal Recessive Distal Renal Tubular Acidosis
ATP6V0A4,Distal Renal Tubular Acidosis
ATP6V1B1,Distal Renal Tubular Acidosis
ATP6V1B1,Autosomal Recessive Distal Renal Tubular Acidosis
ATP6V1B1,Inherited Distal Renal Tubular Acidosis
ATPAF2,Complex V Deficiency
ATPAF2,Mitochondrial Disease
ATPAF2,Hereditary Hearing Loss And Deafness
ATRX,Alpha-Thalassemia/Intellectual Disability Syndrome
ATXN2,Parkinson Disease
ATXN3,Parkinson Disease
ATXN8OS,Parkinson Disease
AUH,3-Methylglutaconic Aciduria
AURKA,Neoplasm Of The Large Intestine
AVP,Central Diabetes Insipidus
